Unnamed: 0,제목,날짜,본문
115,"삼성전자, '디지털 포용성' 평가 글로벌 4위…아시아 기업 1위",2021.12.08.,"삼성전자는 디지털 포용성 평가에서 ▲인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 ▲사외 스타트업 육성... 또 초·중학생 소프트웨어 교육 프로그램인 '삼성 주니어 SW 아카데미', 청소년과 미취업 청년에게 IT 프로그래밍, AI 기술 교육을 지원하는 '삼성 이노베이션..."
116,"삼성전자, WBA 선정 디지털 포용성 평가 글로벌 4위",2021.12.08.,"삼성전자는 인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 AI 윤리 원칙 공개, 사외 스타트업 육성 프로그램인 C랩 아웃사이드를 통한... 또한, TV 화면 색상을 보정해 주는 씨컬러스(SeeColors) 앱을 개발하는 등 장애인들의 제품 접근성 향상을 위한 노력과 초·중학생 소프트웨어 교육..."
119,"삼성전자, WBA ‘디지털 포용성 평가’ 글로벌 4위로 순위 상승",2021.12.08.,"삼성전자는 이번 평가에서 ▲인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 ‘AI 윤리 원칙’ 공개 ▲사외 스타트업 육성... 또 ‘삼성 주니어 소프트웨어(SW) 아카데미’, ‘삼성 이노베이션 캠퍼스’ 등 청소년 교육 중심의 사회공헌 활동도 높은 평가를 받았다. WBA는 유엔(UN)의..."
122,'장사팁도 기술'…KT 상권분석 플랫폼에 대학생 투입하니,2021.12.08.,"KT가 한 일은 1대 1 매칭, 그리고 잘나가게 빅데이터를 어떻게 활용하면 되는지를 학생들에게 교육한 것이다. 기대 이상의 성과물이 나왔다. 종로구의 한... 그 중에서도 '유선통화분석'과 'AI(인공지능) 점포진단' 서비스는 소상공인의 필요에 부응한 서비스다. 대부분의 소상공인은 가게 대표 유선전화를..."
123,"""공간 빅데이터로 진화하는 감정평가""… 학회 하반기 학술대회 '눈길'",2021.12.08.,"이어지는 여성위원회에선 △㈜꾸림 임혜순 대표가 '청년여성 1인 가구 주거지원 방안'에 대해, 윤리교육에선 △한국대학기관생명윤리위원회협회 조성연... 박사가 'AI(인공지능) 스마트 하우징'에 대해 이야기한다. 끝으로 LX 특별정책세미나에선 △LX 이준호 차장의 'LX 국토정보 기본도의 위상과 역할' △제주대..."
125,"삼성, 디지털 포용성 '글로벌 4위' 150개 ICT기업 평가… 亞 기준 1위",2021.12.08.,"인공지능(AI) 분야 공정성·투명성·책임성 추구의 'AI 윤리 원칙' 적용, 사외 스타트업 육성 프로그램 'C랩 아웃사이드'를 통한 기술혁신 생태계 기여 등에 높은 점수를 부여했다. 또 색상 구별에 어려움을 겪는 시청자를 위한 TV 화면 색상 보정 앱 '시컬러스(SeeColors)' 개발, 초·중학생 소프트웨어 교육..."
130,"삼성전자, WBA 디지털 포용성 평가서 글로벌 4위",2021.12.08.,"삼성전자는 이번 &apos;디지털 포용성&apos; 평가에서 ▲인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 &apos;AI 윤리 원칙&apos; 공개... 소프트웨어 교육 프로그램인 &apos;삼성 주니어 SW 아카데미&apos;, 청소년과 미취업 청년에게 IT 프로그래밍, AI 기술 교육을 지원하는 &apos;삼성..."
131,"삼성전자, WBA '디지털 포용성 평가' 글로벌 4위",2021.12.08.,"삼성전자는 이번 디지털 포용성 평가 인공지능(AI) 분야에서 공정성ㆍ투명성ㆍ책임성을 추구하는 'AI 윤리 원칙' 공개, 사외 스타트업 육성... 소프트웨어 교육 프로그램인 '삼성 주니어 SW 아카데미', 청소년과 미취업 청년에게 IT 프로그래밍, AI 기술 교육을 지원하는 '삼성 이노베이션 캠퍼스' 등 청소년..."
132,충청권 의학계열 정시모집 400점 이상 합격선,2021.12.09.,"△충남대 경영·경제·행정·심리·국어교육·영어교육, 충북대 역사교육 359점 △충남대 무역·언론정보·공공안전·정치외교·교육, 충북대 심리·윤리... 생화학·정보통계·전기공학·기계공학·응용화학공학·인공지능·자율운항시스템공학·신소재공학 △충북대 수학교육·생물교육·간호· 전자공학 362점..."
133,"박승배 메트라이프금융서비스 대표 ""보험업 미래, 현장에 있다… 설계사 투자...",2021.12.09.,"GA시장 포화 속 차별화만이 살길 “보험업계도 디지털화가 빠르게 진행되며 온라인 보험가입과 비대면 청구, AI(인공지능) 등 변화의 바람이 불고 있다.... 급성장하면서 교육과 전문성, 윤리 의식을 갖추고 고객의 가치를 최우선에 두는 보험인의 핵심 가치가 퇴색한 것 같아 이를 다잡고자 했다”고 말했다...."
136,"삼성전자, 디지털 포용성 ‘글로벌 4위’ 선정…아시아기업 1위",2021.12.08.,삼성전자는 이번 '디지털 포용성' 평가에서 ▲인공지능(AI) 분야 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 ▲사외 스타트업 육성... 맞춰 TV 화면 색상을 보정하는 '씨컬러스' 앱 ▲초·중학생 소프트웨어 교육 프로그램인 '삼성 주니어 SW 아카데미' ▲'삼성 이노베이션 캠퍼스' 등도 인정 받았다.
141,"국토정보 활용 '프롭테크' 미래…민간·공공, 어떻게 협업할 것인가",2021.12.08.,"연구윤리교육, 폐회 순으로 진행될 예정입니다. 코로나19 상황을 고려해 현장 참석인원은 50인으로 제한되며, 한국감정평가학회 유튜브(https://bit.ly/3oo2tXm)... 박사는 '인공지능(AI) 스마트 하우징'을 발표합니다. 정책세미나에서는 이준호 한국국토정보공사 차장이 LX국토정보기본도의 효용성을 발표합니다. 이어..."
142,"삼성전자, WBA선정 디지털 포용성 평가서 글로벌 4위",2021.12.08.,삼성전자는 이번 평가에서 △인공지능(AI) 분야에서 공정성·투명성·책임성을 추구하는 'AI 윤리 원칙' 공개 △사외 스타트업 육성 프로그램인 'C랩 아웃사이드'를 통한 기술혁신 생태계 기여 등에 대해 높은 점수를 받았다. 초·중학생 소프트웨어 교육 프로그램인 '삼성 주니어 SW 아카데미'와...
143,[박은종의 교육시론] 교원 양성 인원 감축과 교원의 역량 강화,2021.12.08.,"과정과 교육대학원을 중심으로 양성한다. 제4차 산업혁명 시대를 맞아 인공지능(AI), 드론 등 신규분야 교직과정은 입학정원 30% 내에서 운영이... 또 교원 양성 과정에서 예비 교원들의 청렴·윤리의식, 적성·인성 검증체계를 구축하기로 했다. 이와 같은 교육부의 '초·중등 교원양성체제 발전방안' 발표와..."
148,"한국해양대 LINC+사업단, '제3회 스마트융합기술포럼' 개최",2021.12.09.,그리고 부산산업과학혁신원 채준원 팀장과 한국인공지능협회 안종훈 AI 윤리 전문위원의 주제발표가 뒤를 이었다. 채준원 팀장과 안종훈 전문위원은... 위한 네트워킹 시간이 됐다고 평가된다. 제3회 스마트융합기술포럼 참석자들이 기념사진을 촬영하고 있다. ▲교육전문신문 베리타스알파 [베리타스알파=]
149,국립과천과학관에서 전국 정보교사 직무연수 실시,2021.12.08.,인공지능 시대의 윤리와 규범에 대한 이슈도 함께 다루고 있다. 과천과학관에서 마련한 이번 과정은 '교사직무연수'로 추진하게 되었으며 12월 1일부터 한국교육학술정보원(KERIS : 교육부 산하 공공기관으로 교육과 학술연구 정보화 기관) 인공지능(AI) 교사직무연수 홈페이지(한국교육학술정보원의 에듀넷...
150,"'메타버스로 만나는 새로운 수업, 새로운 세상'",2021.12.08.,"이번 연수는 지난 25일을 시작으로 2회에 걸쳐 총 6시간으로 구성됐으며 청양 상상이룸 교사학습공동체 '삼공', 청양 AI, SW교육 지원단과 초중등... 역량과 인공지능 윤리 등 미디어리터러시 교육의 필요성도 함께 논의하는 시간을 가졌다. 임동우 교육장은 ""미래교육에 대한 통찰력을 키우고 대비할 수 있는..."
151,"고려대학교의료원, SK바이오사이언스와 신종 바이러스 감염병 선제적 대응 협...",2021.12.08.,"21001(교육기관경영시스템)' 국제표준 인증을 획득한 바 있다. 이날 협약식에서 임상현 혁신의료기기 실증지원센터장(흉부외과)은 ""AI를 기반으로 한... ◇한림대기술지주회사, 한림 인공지능 해커톤 성료 ▲ 한림대학교기술지주회사 및 학교법인일송학원이 지난달 26일 한림대성심병원 한림문화홀에서..."
